annual_revenue,years_in_business,avg_monthly_profit,num_employees,sector,owner_age,has_existing_loan,credit_score,label
267457.0182613966,6,47347.84777285539,9,manufacturing,27,0,641,1
141738.0194049258,4,-7766.860533106086,10,manufacturing,58,0,743,0
311043.6509611964,7,96069.38105062615,16,manufacturing,33,0,558,1
746409.6494415246,4,17198.819409586726,13,services,45,0,669,0
128778.17445141792,8,52163.847754273425,12,services,26,0,675,1
128780.28871975793,5,59653.72167310023,17,services,61,1,580,0
789545.5576983271,7,36355.35348340471,6,services,29,1,603,0
350611.73747235385,5,57335.263671654786,11,retail,42,1,550,0
101775.59443835447,8,26741.916140739104,7,agri,34,1,540,0
280004.24523386377,5,114412.95411629166,11,services,39,0,641,1
102393.88849982165,3,42184.76740155082,13,services,41,0,706,0
102157.4210772463,8,76970.2881940374,12,agri,36,0,640,1
207308.28659799008,12,17221.145167159753,11,retail,33,0,643,1
24021.865458626165,10,71638.33735623177,9,services,39,0,559,1
29000.900711019643,3,28483.809085956258,15,retail,39,1,502,0
92754.59033792448,3,8205.617478596687,8,services,43,0,673,0
59110.797153800835,9,18047.49852050186,10,retail,44,1,603,0
222848.47442327638,7,24562.690618733275,7,tech,48,0,523,1
65642.32233667637,4,53343.59591645817,7,services,45,0,611,1
39644.05578462245,5,136273.69652283986,16,tech,41,0,667,1
704785.4920650577,3,132070.27114815923,9,services,37,0,678,1
129861.48995089263,4,40344.43586267899,15,retail,24,0,663,0
174124.91182413534,5,78782.58760199077,16,services,41,0,601,1
39153.76298002289,4,12386.687834553713,12,agri,50,0,691,0
94430.30002514434,4,-13121.870128314436,9,manufacturing,32,0,648,0
181847.29760082654,8,50917.55888608253,17,retail,33,1,588,0
51482.97361534425,7,66388.69150726945,18,agri,53,0,571,0
236972.177413374,4,73497.68552136225,14,services,56,1,663,0
89264.69269096038,5,82390.9455042967,14,manufacturing,31,0,710,1
121577.3847090785,6,40086.63606200813,9,services,65,0,691,1
89169.41581729209,4,52161.2430795839,25,retail,44,1,661,0
1037451.9165395312,3,74637.16309041165,12,agri,49,1,694,0
160572.8118812335,7,85804.05285641624,10,services,36,1,816,0
56516.5656239107,9,22785.99050712934,11,retail,42,0,670,1
370476.35855091654,9,56320.3223237639,8,services,44,0,661,1
48009.60384731103,7,69486.58668350846,15,services,31,0,688,1
200558.9695599799,7,54426.57757722305,13,services,56,0,702,1
22932.946700473392,7,31338.69576673839,11,retail,39,1,556,0
43123.09377774695,9,50092.78105025556,18,tech,34,0,662,1
198166.17708151223,6,65891.8971207088,13,agri,28,0,720,1
340600.86266755644,3,27180.44512950983,14,manufacturing,45,0,772,1
193178.18517064684,7,14082.834821011058,18,retail,42,1,651,0
144980.09231704334,2,111786.28465597834,9,manufacturing,30,0,618,1
120438.71392627004,3,55625.89280908791,11,services,41,1,661,0
37103.923941970825,5,78150.50939072995,12,manufacturing,44,0,604,1
79233.60486049866,5,56284.887431848394,4,services,36,1,759,0
102678.82884426038,6,81509.52218110941,16,retail,43,0,683,1
468420.75784633425,8,52375.35388924918,13,services,40,1,646,0
229490.8158429449,5,67613.40345966924,12,tech,37,0,727,1
27916.127422879046,6,16714.08928832245,11,services,30,1,569,0
225051.3707102942,7,-2953.6325565769084,14,services,41,0,504,0
110737.48946481077,0,35705.664765378344,10,services,19,0,679,0
82708.52835473155,3,7226.18387759252,11,services,54,0,725,0
300041.5634396925,7,-13509.452825449263,14,tech,51,1,640,0
456342.78267688816,4,59052.4304522465,11,services,29,0,602,1
413031.9043147042,7,-3080.842040099303,10,tech,25,0,583,1
70317.9568411778,7,78484.869658422,6,services,51,0,563,1
119466.06368814158,10,93235.56700417762,10,services,38,0,696,1
226672.9324816626,3,6710.308137126313,15,manufacturing,40,0,707,0
431725.44755636685,4,58659.9684963788,19,agri,40,0,714,0
100793.15868772965,4,105738.0243608433,13,manufacturing,26,0,650,1
135177.09645695408,6,35840.61686607883,13,tech,47,0,569,1
53834.24274844241,9,68325.39367627488,14,services,44,0,599,1
49207.10860668545,7,121787.10524193104,12,services,40,0,691,1
366783.0553427117,5,-314.4663249830426,8,retail,17,0,577,0
631744.3163732189,6,19421.476549703908,15,manufacturing,45,0,642,1
151446.8289676883,5,66922.73298144202,11,manufacturing,43,0,578,1
443979.15756529436,6,115173.15864676483,12,agri,39,1,601,0
233663.19620477577,6,28663.49499656094,13,services,49,0,569,0
85381.11721168931,9,123071.95578325668,14,retail,51,1,651,0
233607.0257593182,4,53958.68442188738,12,manufacturing,43,0,547,1
757695.2708654448,7,-9017.669914024302,10,manufacturing,24,1,596,0
157027.14396606796,5,97714.44878218575,12,services,27,0,709,1
778125.9315553086,5,36091.28436170004,16,retail,33,0,723,1
11852.035404546386,7,63455.75835776118,12,agri,37,0,696,1
370238.43810430437,6,224.90937400186706,9,retail,48,1,749,0
177557.0186665972,8,27402.452460228753,13,agri,43,0,557,0
120691.45986567817,5,5093.842302779654,13,manufacturing,38,0,643,0
178395.9463355451,6,1910.1931186787092,15,manufacturing,46,0,655,0
22301.98764188092,6,52941.187938602525,15,manufacturing,32,1,786,0
130656.64257343058,10,67003.32406446633,5,agri,46,1,633,0
232608.61855838605,5,33597.25555963838,11,agri,42,0,706,0
713468.8413094883,4,6885.386305663703,13,manufacturing,45,1,768,0
96928.58815113637,3,11716.829788813127,11,manufacturing,48,0,659,0
72511.93131080235,6,61148.88914099122,8,retail,39,1,617,0
98542.4753871785,3,53320.717116406566,10,agri,20,0,623,0
406525.5736104933,4,61642.24019859153,13,agri,33,0,530,0
226104.17189858676,4,96752.15667818506,13,services,47,0,617,1
95821.25388916225,5,67260.48641543619,10,retail,34,1,550,0
271921.1553207483,7,62270.88194037486,17,agri,33,1,704,0
179346.96298233193,3,121061.49395584251,14,services,40,1,540,0
428756.73703195027,5,41756.46692599798,15,retail,50,0,677,1
80655.87335406715,5,121510.26142214607,10,services,44,0,729,1
117282.15049884,4,92716.51070468202,14,services,57,0,701,1
109962.18873035187,7,41062.23773129019,18,tech,44,1,616,0
37664.94318646142,9,74145.16523514452,13,tech,43,1,703,0
218845.2804292955,8,43543.97417544954,20,services,37,0,650,1
211304.45183695105,7,6908.137725645797,15,manufacturing,24,0,617,1
163589.16243021784,8,49758.82234635165,16,retail,41,1,624,0
128722.32791691957,7,5986.210110244654,6,services,40,0,681,0
39522.65212157492,5,56988.94255234761,13,manufacturing,46,0,541,1
106868.53115843075,10,74014.39517576154,17,services,43,0,614,1
115529.99630259721,5,43492.805156166156,5,retail,42,0,676,0
72964.09361079808,4,56928.72353166345,11,manufacturing,51,1,614,0
138512.2832404915,5,56431.74944860655,9,retail,37,1,559,0
243787.1668972045,4,75330.48761874801,21,manufacturing,48,0,587,1
1073232.737045372,10,52684.26565592576,7,agri,52,0,662,1
193799.19270705173,5,40558.21077384438,14,tech,34,0,683,1
210565.15111939705,3,73968.21186195164,16,retail,35,1,725,0
151078.38457175248,5,54756.74557188006,18,services,32,0,704,1
23890.323577455863,5,-14066.704855969863,6,services,26,0,703,0
158496.2360265259,10,39491.4038181794,8,retail,58,1,515,0
172858.77488232346,4,34484.86169131601,14,tech,71,1,702,0
1911200.453893903,8,54423.7772119264,14,manufacturing,42,1,613,0
134274.17024284523,10,51199.71942392322,16,services,36,1,549,0
220036.19671721122,8,-8510.7697868088,11,services,57,0,689,0
157202.21202667616,9,5248.349346391088,8,services,46,1,662,0
50580.528167033954,5,21414.185095824403,12,services,32,0,711,0
510335.0830362688,8,51933.65249683983,8,tech,31,0,612,1
345218.57035928656,8,82215.25483854805,10,services,48,0,649,1
358983.58674178796,11,1890.688073822142,14,services,43,0,523,0
65552.88793529433,6,29836.551462873766,11,tech,51,0,787,1
661850.0581065816,7,48545.7746686858,9,services,47,1,556,0
40060.6140439017,10,22058.030029821435,14,agri,27,0,593,0
292686.425216704,6,52621.409376588854,13,manufacturing,32,1,577,0
1454911.4910005226,8,69208.24845540205,8,tech,31,0,664,1
60443.460801769645,1,27295.66622952208,12,manufacturing,42,0,590,0
92383.37067629052,8,59827.50416532489,14,tech,38,0,725,1
179809.16357292814,4,46564.4239012533,23,manufacturing,35,1,672,0
98373.26469644826,8,15526.941422095939,9,services,36,0,545,0
34521.46449844863,9,45773.55132479912,9,services,46,1,704,0
174305.1843339259,3,63699.97918069869,10,services,38,1,713,0
56257.59236150115,0,92412.29014288531,8,services,33,1,599,0
261343.8966325042,5,99327.31228692757,15,tech,26,0,569,1
64898.23883739998,6,32969.458157730296,8,services,30,0,677,1
766764.0493204317,3,31161.61755668013,8,retail,50,1,696,0
74365.44824658123,3,51211.703803356344,12,manufacturing,33,0,579,1
117940.84731228914,4,33719.09037786874,19,agri,58,0,714,0
367146.86252937734,5,86390.9750665102,14,retail,46,0,609,1
47530.91800128835,9,53020.722165797226,10,tech,31,1,732,0
204323.52727561785,2,51657.30531727727,11,services,33,0,539,0
601476.5058000084,5,69299.23341510694,21,manufacturing,18,0,598,1
32614.647147026433,3,54795.08528519633,12,services,35,0,635,0
195757.878054488,7,59157.339441624004,10,retail,59,1,580,0
211056.84721419465,3,57895.729237092375,10,retail,56,0,647,0
355692.8554249133,5,45660.860156373026,8,agri,56,0,625,0
47242.50467501052,4,22926.84916515483,12,manufacturing,46,0,635,0
43457.70246548874,6,102770.66045611164,19,retail,38,0,621,1
274290.094846842,8,22827.98866648096,18,tech,40,0,559,1
219034.53123326832,5,99626.91554839857,12,manufacturing,45,0,648,1
209084.3107553148,7,60243.27868293209,12,manufacturing,39,0,641,1
230141.17627605403,4,31952.48061353865,12,retail,32,0,579,0
82452.30454547024,5,66645.72780689031,15,services,39,0,737,1
205305.35719970713,6,73577.48260711292,6,retail,26,1,672,0
218179.298366306,8,101546.0489425603,13,retail,45,0,700,1
79670.01590207148,5,10530.65696538551,8,tech,30,0,593,1
1051548.6193503866,5,45799.90703805585,9,agri,45,0,488,0
261406.75485658774,7,91316.29421446615,19,retail,29,0,772,1
49448.96975689631,5,72396.58554960738,19,services,38,1,661,0
313813.33344215906,4,64580.52521497476,9,services,42,1,675,0
61409.408160859406,4,94354.629534459,9,agri,38,0,672,1
357569.3483641632,3,44601.78033847568,13,retail,46,1,677,0
518448.2937947344,6,-21941.044313589995,12,agri,44,1,575,0
71633.46855468689,8,39004.765976755116,18,services,35,0,577,1
426503.61815578444,7,110352.69337637858,13,manufacturing,34,0,578,1
245924.76306503534,8,58954.27870720675,11,services,33,0,688,1
370296.812875974,10,24727.08483706629,12,manufacturing,31,1,565,0
1084677.1929315056,7,90023.8840423163,12,agri,60,0,542,1
127339.48178151582,8,75345.8871132557,18,retail,33,0,605,1
76593.21966150173,10,54410.3525259847,17,manufacturing,50,1,630,0
66868.652939248,4,67553.9611779129,13,retail,41,0,646,1
71983.32075884118,0,19482.35299328825,11,agri,36,0,615,0
150677.68388235907,6,39137.04817124134,15,retail,41,0,683,1
228925.51664784265,8,48052.06315186082,14,retail,42,0,731,1
214634.2722428626,8,82975.1689205095,12,services,22,0,653,1
372198.7441419017,6,33537.59667919644,15,agri,39,0,731,0
164884.72821837454,5,49227.508887512646,11,services,40,0,688,1
696298.7440337689,10,93229.74480494086,6,agri,36,1,583,0
124909.30173033074,6,125729.8090267901,8,agri,18,0,590,1
2471088.170853262,11,23880.83818944169,17,agri,36,0,587,1
304268.96659761295,6,54198.72769113578,7,tech,56,0,636,1
69067.6987295909,9,4761.412571655373,7,retail,45,1,630,0
55776.47708870154,5,49564.972135645374,14,manufacturing,29,1,691,0
263674.96100204065,7,41296.86649054223,8,services,48,0,639,1
130162.27427707387,3,87530.98905367266,11,manufacturing,28,0,667,1
332368.80643131514,5,14812.830927748293,15,manufacturing,42,1,568,0
261251.18668180605,3,10700.508915321716,8,manufacturing,42,0,666,0
151322.8764081094,3,95628.04185757165,9,retail,36,0,616,1
69787.22729282489,4,31006.033708088,14,manufacturing,50,0,611,0
35780.301206303826,5,55922.93424704709,15,services,47,1,604,0
104139.33571556213,9,58851.33701745949,10,agri,32,1,755,0
383233.13644716295,5,26380.531333052197,12,retail,37,0,567,0
201610.6707588857,9,26412.47146443878,14,tech,31,0,697,1
46829.153279595914,4,83807.29054109656,5,services,34,1,646,0
193528.6661294145,11,70312.1626653599,4,retail,46,0,554,1
239262.69743338862,6,49529.37620724614,14,services,39,0,629,1
67248.00044074132,4,45896.24525527268,10,services,50,0,486,0
189799.79896158594,5,59498.3265455688,12,retail,24,0,770,1
172509.69528864694,4,61465.97635760367,6,manufacturing,42,1,624,0
51897.69740457912,4,87834.3656665221,10,services,48,0,728,1
232765.63322738622,11,49374.3166531657,15,retail,41,0,744,1
285153.9606992857,7,63289.42244600491,15,agri,26,0,610,0
480725.28033798473,9,71545.36385536044,11,retail,29,1,652,0
466868.09831524245,7,72073.25570115112,20,services,49,1,662,0
41041.15538247969,4,93491.58756083685,8,services,34,0,783,1
63714.97881084745,4,49622.33664056279,11,manufacturing,32,1,636,0
272402.2919699397,8,33023.983040755535,8,tech,36,0,646,1
272062.1878404425,3,39261.10930312449,8,agri,37,1,552,0
272405.67498153925,11,69224.80052284912,13,manufacturing,51,0,587,1
7669266.148886516,5,46756.959738093916,17,manufacturing,22,0,615,1
288050.33285136847,6,118603.92867481551,10,retail,45,0,741,1
506644.89872092137,7,50377.66799735661,13,services,54,0,782,1
422524.0991213691,5,21351.400675549314,17,tech,49,1,685,0
312197.49124653504,9,59681.050019389375,21,agri,63,1,674,0
118744.66034375734,4,96164.366382681,14,services,35,0,697,1
347656.15866251575,2,25527.205708260884,7,manufacturing,48,0,602,0
75144.99444635131,5,24661.356046968805,10,agri,39,1,747,0
128435.40771716101,12,44395.53888604802,15,services,34,0,549,1
100171.24517744376,6,30622.683235024404,11,retail,17,0,618,0
176640.90039209666,4,9493.457092637398,13,services,35,1,695,0
1647317.1727611332,5,3775.3748528107067,15,manufacturing,50,0,616,1
25153.059227837257,6,56972.85811400789,14,retail,22,0,822,1
323275.5034076037,6,71451.29321043703,13,services,60,0,696,1
32444.43227441067,8,28965.073335091696,13,services,44,0,718,1
101525.79003570628,8,47884.439210050485,10,manufacturing,28,1,596,0
483569.63050830824,7,55548.857812564864,13,retail,42,0,717,1
173560.23937119712,8,16842.97794861271,13,retail,46,0,706,1
55395.58752890713,1,75765.82091043988,14,services,35,0,759,1
79594.18295760204,10,56357.010062527064,7,retail,33,0,496,1
321128.8581867119,5,65734.29528952204,9,manufacturing,59,0,595,1
78404.24641143401,10,70399.05994393496,12,services,36,1,673,0
202088.013034552,2,122772.88994164755,12,retail,38,0,675,1
170343.4274811794,5,19262.058605126673,13,retail,53,1,646,0
84829.58599603383,9,23216.95271414623,9,services,39,0,543,0
1388790.9262174899,3,100487.74593679614,14,manufacturing,47,0,663,1
306790.082495261,5,69566.84244829007,10,manufacturing,35,1,671,0
21479.567498531127,3,52070.81670472356,12,agri,33,0,649,0
196114.57127825168,5,35657.40409407821,12,manufacturing,43,0,647,1
83969.88782068953,5,43043.40783748965,15,manufacturing,30,0,715,1
381716.45012167527,6,43625.580944390334,10,services,44,0,639,1
73679.45408023843,8,5150.652837120706,12,services,30,1,562,0
145112.35138845074,3,79195.96090705467,10,agri,43,0,748,1
269678.9021545102,9,-10319.71975842631,10,services,52,1,744,0
386835.645884689,8,24528.161116212752,10,retail,20,0,647,1
49006.27317824614,6,37046.7701620105,11,manufacturing,35,0,711,1
116482.7839901298,5,114304.53163557836,15,services,20,1,543,0
101220.30812133302,7,46976.084940450935,17,manufacturing,37,1,639,0
84683.05210659147,8,59493.87496427858,4,services,43,1,530,0
951175.8549718257,5,23675.31467795186,7,services,36,0,728,1
244014.20284463663,4,76061.87038544596,14,agri,18,0,545,0
46125.26126759806,8,138556.43685487323,14,retail,48,0,621,1
407526.7880525785,2,64745.03238816647,15,services,25,0,665,1
1358859.356050216,7,39934.863505677225,13,manufacturing,48,0,707,1
457012.1520999516,8,-10952.184624265437,19,services,32,1,686,0
35618.84155678516,9,70810.76705772801,15,retail,31,1,730,0
100284.45000984675,7,20421.60581108265,13,agri,40,0,706,0
577758.4473733894,6,27326.71991113914,21,tech,50,0,741,1
80204.14969758729,5,77951.32251231327,5,retail,59,1,527,0
253677.59485457884,6,35791.109764416506,11,services,35,0,616,1
353145.01306007087,6,47175.72427377762,9,retail,26,0,681,1
64412.920987655176,8,72493.59032325477,4,services,43,0,760,1
153349.45934954943,5,28818.08408050427,10,retail,26,0,614,0
6366.038527714459,6,11331.273965122384,13,services,47,0,787,1
58431.614041031935,2,63929.107564478734,16,services,44,0,674,1
126428.45431431099,3,72630.50999063088,19,manufacturing,53,0,600,1
46733.513402851226,6,32673.05460713493,12,services,50,0,569,0
832685.5042411954,7,31186.070164154935,14,retail,41,0,701,1
38943.167629657786,6,16997.139770958085,18,agri,40,0,605,0
104815.35038717676,9,71404.72865118537,10,agri,31,1,630,0
185487.09266464986,5,107566.94253660015,15,tech,30,0,661,1
